INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1968-063B","27785","ROCKET BODY","ATLAS AGENA R/B","US","1968-08-06","AFETR","","1414.89","10.02","40011","30730","","","0","","7289","1968","63","B","Y","ATLAS AGENA R/B","1968-063B","27785"
"1968-081A","3428","PAYLOAD","OV2-5","US","1968-09-26","AFETR","","1417.92","3.83","35794","35066","","","0","MEDIUM","7288","1968","81","A","Y","OV2-5","1968-081A","3428"
"1968-081AA","38700","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1401.78","3.96","35575","34650","","1","0","SMALL","7203","1968","81","AA","Y","TITAN 3C TRANSTAGE DEB","1968-081AA","38700"
"1968-081AB","38701","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1424.73","4.57","36683","34444","","3","0","SMALL","7203","1968","81","AB","Y","TITAN 3C TRANSTAGE DEB","1968-081AB","38701"
"1968-081AC","38702","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1408.84","4.57","36148","34355","","","0","SMALL","7288","1968","81","AC","Y","TITAN 3C TRANSTAGE DEB","1968-081AC","38702"
"1968-081AE","38704","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1408.98","1.63","36064","34444","","","0","SMALL","7289","1968","81","AE","Y","TITAN 3C TRANSTAGE DEB","1968-081AE","38704"
"1968-081AF","38705","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1410.82","2.54","36454","34127","","","0","SMALL","7289","1968","81","AF","Y","TITAN 3C TRANSTAGE DEB","1968-081AF","38705"
"1968-081E","3432","ROCKET BODY","TITAN 3C TRANSTAGE R/B","US","1968-09-26","AFETR","","1418.45","3.86","35867","35014","","","0","LARGE","7289","1968","81","E","Y","TITAN 3C TRANSTAGE R/B","1968-081E","3432"
"1968-081H","25001","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1415.95","3.74","35693","35090","","","0","SMALL","7289","1968","81","H","Y","TITAN 3C TRANSTAGE DEB","1968-081H","25001"
"1968-081K","33509","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1410.66","3.84","35529","35045","","","0","SMALL","7289","1968","81","K","Y","TITAN 3C TRANSTAGE DEB","1968-081K","33509"
"1968-081L","33510","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1413.91","3.71","35639","35063","","","0","SMALL","7289","1968","81","L","Y","TITAN 3C TRANSTAGE DEB","1968-081L","33510"
"1968-081P","33513","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1420.18","3.82","35866","35083","","","0","SMALL","7288","1968","81","P","Y","TITAN 3C TRANSTAGE DEB","1968-081P","33513"
"1968-081T","38693","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1400.48","2.56","35525","34648","","","0","SMALL","7288","1968","81","T","Y","TITAN 3C TRANSTAGE DEB","1968-081T","38693"
"1968-081X","38697","DEBRIS","TITAN 3C TRANSTAGE DEB *","US","1968-09-26","AFETR","","1419.34","3.16","38887","32029","","","0","SMALL","7289","1968","81","X","Y","TITAN 3C TRANSTAGE DEB *","1968-081X","38697"
