INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1963-031A","634","PAYLOAD","SYNCOM 2 (A 26)","US","1963-07-26","AFETR","","1435.80","34.27","35807","35754","","","0","LARGE","7288","1963","31","A","Y","SYNCOM 2 (A 26)","1963-031A","634"
"1964-047A","858","PAYLOAD","SYNCOM 3","US","1964-08-19","AFETR","","1436.94","1.59","35806","35800","","","0","LARGE","7289","1964","47","A","Y","SYNCOM 3","1964-047A","858"
"1965-028A","1317","PAYLOAD","INTELSAT 1-F1","ITSO","1965-04-06","AFETR","","1437.34","1.80","35826","35796","","","0","MEDIUM","7289","1965","28","A","Y","INTELSAT 1-F1","1965-028A","1317"
"1966-110A","2608","PAYLOAD","ATS 1","US","1966-12-07","AFETR","","1435.22","0.75","35781","35758","","","0","LARGE","7289","1966","110","A","Y","ATS 1","1966-110A","2608"
"1967-001A","2639","PAYLOAD","INTELSAT 2-F2","ITSO","1967-01-11","AFETR","","1435.01","2.41","35793","35738","","","0","LARGE","7289","1967","1","A","Y","INTELSAT 2-F2","1967-001A","2639"
"1967-026A","2717","PAYLOAD","INTELSAT 2-F3","ITSO","1967-03-23","AFETR","","1436.26","1.65","35863","35716","","","0","LARGE","7289","1967","26","A","Y","INTELSAT 2-F3","1967-026A","2717"
"1967-094A","2969","PAYLOAD","INTELSAT 2-F4","ITSO","1967-09-28","AFETR","","1436.54","1.57","35837","35753","","","0","LARGE","7289","1967","94","A","Y","INTELSAT 2-F4","1967-094A","2969"
"1967-111A","3029","PAYLOAD","ATS 3","US","1967-11-05","AFETR","","1436.10","2.49","35862","35712","","","0","LARGE","7287","1967","111","A","Y","ATS 3","1967-111A","3029"
"1968-063A","3334","PAYLOAD","OPS 2222","US","1968-08-06","AFETR","","1450.87","11.50","40144","32007","","","0","","7288","1968","63","A","Y","OPS 2222","1968-063A","3334"
"1968-063B","27785","ROCKET BODY","ATLAS AGENA R/B","US","1968-08-06","AFETR","","1414.89","10.02","40011","30730","","","0","","7289","1968","63","B","Y","ATLAS AGENA R/B","1968-063B","27785"
"1968-081A","3428","PAYLOAD","OV2-5","US","1968-09-26","AFETR","","1417.92","3.83","35794","35066","","","0","MEDIUM","7288","1968","81","A","Y","OV2-5","1968-081A","3428"
"1968-081AA","38700","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1401.78","3.96","35575","34650","","1","0","SMALL","7203","1968","81","AA","Y","TITAN 3C TRANSTAGE DEB","1968-081AA","38700"
"1968-081AB","38701","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1424.73","4.57","36683","34444","","3","0","SMALL","7203","1968","81","AB","Y","TITAN 3C TRANSTAGE DEB","1968-081AB","38701"
"1968-081AC","38702","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1408.84","4.57","36148","34355","","","0","SMALL","7288","1968","81","AC","Y","TITAN 3C TRANSTAGE DEB","1968-081AC","38702"
"1968-081AE","38704","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1408.98","1.63","36064","34444","","","0","SMALL","7289","1968","81","AE","Y","TITAN 3C TRANSTAGE DEB","1968-081AE","38704"
"1968-081AF","38705","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1410.82","2.54","36454","34127","","","0","SMALL","7289","1968","81","AF","Y","TITAN 3C TRANSTAGE DEB","1968-081AF","38705"
"1968-081AG","39296","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1431.44","4.60","36410","34980","","","0","SMALL","7289","1968","81","AG","Y","TITAN 3C TRANSTAGE DEB","1968-081AG","39296"
