INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1968-081AJ","39298","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1437.92","4.74","36549","35095","","","0","SMALL","7289","1968","81","AJ","Y","TITAN 3C TRANSTAGE DEB","1968-081AJ","39298"
"1968-081AK","39299","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1434.28","4.76","36311","35191","","","0","SMALL","7287","1968","81","AK","Y","TITAN 3C TRANSTAGE DEB","1968-081AK","39299"
"1968-081C","3430","PAYLOAD","ERS 21 (OV5-4)","US","1968-09-26","AFETR","","1435.75","3.00","35785","35775","","3","0","SMALL","6151","1968","81","C","Y","ERS 21 (OV5-4)","1968-081C","3430"
"1968-081D","3431","PAYLOAD","LES 6","US","1968-09-26","AFETR","","1436.38","4.47","35836","35748","","","0","LARGE","7289","1968","81","D","Y","LES 6","1968-081D","3431"
"1968-081E","3432","ROCKET BODY","TITAN 3C TRANSTAGE R/B","US","1968-09-26","AFETR","","1418.45","3.86","35867","35014","","","0","LARGE","7289","1968","81","E","Y","TITAN 3C TRANSTAGE R/B","1968-081E","3432"
"1968-081G","25000","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1425.30","4.07","36094","35056","","","0","MEDIUM","7288","1968","81","G","Y","TITAN 3C TRANSTAGE DEB","1968-081G","25000"
"1968-081H","25001","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1415.95","3.74","35693","35090","","","0","SMALL","7289","1968","81","H","Y","TITAN 3C TRANSTAGE DEB","1968-081H","25001"
"1968-081J","30000","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1427.11","4.10","36162","35059","","","0","SMALL","7289","1968","81","J","Y","TITAN 3C TRANSTAGE DEB","1968-081J","30000"
"1968-081K","33509","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1410.66","3.84","35529","35045","","","0","SMALL","7289","1968","81","K","Y","TITAN 3C TRANSTAGE DEB","1968-081K","33509"
"1968-081L","33510","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1413.91","3.71","35639","35063","","","0","SMALL","7289","1968","81","L","Y","TITAN 3C TRANSTAGE DEB","1968-081L","33510"
"1968-081M","33511","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1429.01","4.37","36212","35084","","","0","SMALL","7289","1968","81","M","Y","TITAN 3C TRANSTAGE DEB","1968-081M","33511"
"1968-081N","33512","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1426.89","4.01","36592","34620","","","0","SMALL","7289","1968","81","N","Y","TITAN 3C TRANSTAGE DEB","1968-081N","33512"
"1968-081P","33513","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1420.18","3.82","35866","35083","","","0","SMALL","7288","1968","81","P","Y","TITAN 3C TRANSTAGE DEB","1968-081P","33513"
"1968-081R","38691","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1429.91","3.63","36511","34820","","","0","SMALL","7289","1968","81","R","Y","TITAN 3C TRANSTAGE DEB","1968-081R","38691"
"1968-081T","38693","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1400.48","2.56","35525","34648","","","0","SMALL","7288","1968","81","T","Y","TITAN 3C TRANSTAGE DEB","1968-081T","38693"
"1968-081X","38697","DEBRIS","TITAN 3C TRANSTAGE DEB *","US","1968-09-26","AFETR","","1419.34","3.16","38887","32029","","","0","SMALL","7289","1968","81","X","Y","TITAN 3C TRANSTAGE DEB *","1968-081X","38697"
"1968-081Z","38699","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1427.73","4.10","36044","35201","","","0","SMALL","7283","1968","81","Z","Y","TITAN 3C TRANSTAGE DEB","1968-081Z","38699"
"1969-013A","3691","PAYLOAD","OPS 0757 (TACSAT)","US","1969-02-09","AFETR","","1433.95","2.79","35806","35683","","","0","MEDIUM","7288","1969","13","A","Y","OPS 0757 (TACSAT)","1969-013A","3691"
"1969-013M","43454","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1969-02-09","AFETR","","1400.18","4.88","37338","32823","","","0","","7289","1969","13","M","Y","TITAN 3C TRANSTAGE DEB","1969-013M","43454"
"1969-101A","4250","PAYLOAD","SKYNET 1","UK","1969-11-22","AFETR","","1436.05","5.21","35867","35704","","","0","LARGE","7286","1969","101","A","Y","SKYNET 1","1969-101A","4250"
"1970-021A","4353","PAYLOAD","NATO 2A","NATO","1970-03-20","AFETR","","1436.22","5.91","35795","35783","","","0","LARGE","7286","1970","21","A","Y","NATO 2A","1970-021A","4353"
"1970-032A","4376","PAYLOAD","INTELSAT 3-F7","ITSO","1970-04-23","AFETR","","1436.56","3.33","35811","35780","","","0","SMALL","7289","1970","32","A","Y","INTELSAT 3-F7","1970-032A","4376"
"1970-046A","4418","PAYLOAD","OPS 5346","US","1970-06-19","AFETR","","1435.80","3.58","35796","35766","","","0","","7286","1970","46","A","Y","OPS 5346","1970-046A","4418"
"1970-046B","4511","ROCKET BODY","ATLAS AGENA D R/B","US","1970-06-19","AFETR","","1433.59","3.97","35877","35598","","","0","","7288","1970","46","B","Y","ATLAS AGENA D R/B","1970-046B","4511"
"1970-055A","4478","PAYLOAD","INTELSAT 3-F8","ITSO","1970-07-23","AFETR","","1408.08","0.33","36615","33858","","","0","LARGE","7289","1970","55","A","Y","INTELSAT 3-F8","1970-055A","4478"
"1970-069A","4510","PAYLOAD","OPS 7329","US","1970-09-01","AFETR","","1436.15","11.37","39539","32036","","","0","","7288","1970","69","A","Y","OPS 7329","1970-069A","4510"
"1970-069B","27787","ROCKET BODY","ATLAS AGENA R/B","US","1970-09-01","AFETR","","1415.81","10.08","41296","29481","","","0","","7289","1970","69","B","Y","ATLAS AGENA R/B","1970-069B","27787"
"1971-000E","5310","DEBRIS","US UNKNOWN 1 DEB","US","1971-01-01","AFETR","1990-09-26","1436.70","1.20","35795","35763","","4","0","","1","1971","0","E","Y","US UNKNOWN 1 DEB","1971-000E","5310"
"1971-009A","4902","PAYLOAD","NATO 2B","NATO","1971-02-03","AFETR","","1436.09","6.77","35807","35766","","","0","LARGE","7288","1971","9","A","Y","NATO 2B","1971-009A","4902"
"1971-095A","5587","PAYLOAD","OPS 9431 (DSCS 2-1)","US","1971-11-03","AFETR","","1435.97","7.22","35790","35779","","","0","LARGE","7289","1971","95","A","Y","OPS 9431 (DSCS 2-1)","1971-095A","5587"
"1971-095B","5588","PAYLOAD","OPS 9432 (DSCS 2-2)","US","1971-11-03","AFETR","","1436.97","7.18","35828","35779","","","0","LARGE","7289","1971","95","B","Y","OPS 9432 (DSCS 2-2)","1971-095B","5588"
"1972-010B","5854","ROCKET BODY","TITAN 3C TRANSTAGE R/B","US","1972-03-01","AFETR","","1430.32","4.75","35930","35418","","","0","","7289","1972","10","B","Y","TITAN 3C TRANSTAGE R/B","1972-010B","5854"
"1972-012C","5878","ROCKET BODY","ATLAS CENTAUR R/B(1)","US","1972-03-03","AFETR","1972-08-18","1433.02","31.31","71222","231","","","0","","1","1972","12","C","Y","ATLAS CENTAUR R/B(1)","1972-012C","5878"
"1972-041A","6052","PAYLOAD","INTELSAT 4-F5","ITSO","1972-06-13","AFETR","","1438.37","10.99","35836","35827","","","0","MEDIUM","7289","1972","41","A","Y","INTELSAT 4-F5","1972-041A","6052"
"1972-101A","6317","PAYLOAD","OPS 9390","US","1972-12-20","AFETR","","1436.17","14.46","41638","29938","","","0","","7289","1972","101","A","Y","OPS 9390","1972-101A","6317"
"1972-101B","6318","ROCKET BODY","ATLAS AGENA R/B","US","1972-12-20","AFETR","","1407.43","13.42","40216","30231","","","0","","7289","1972","101","B","Y","ATLAS AGENA R/B","1972-101B","6318"
"1973-013A","6380","PAYLOAD","OPS 6063","US","1973-03-06","AFETR","","1436.07","5.98","35884","35688","","","0","","7289","1973","13","A","Y","OPS 6063","1973-013A","6380"
"1974-017A","7229","PAYLOAD","COSMOS 637","CIS","1974-03-26","TTMTR","","1428.80","6.44","35821","35466","","","0","LARGE","7289","1974","17","A","Y","COSMOS 637","1974-017A","7229"
"1974-017F","11567","ROCKET BODY","SL-12 R/B(2)","CIS","1974-03-26","TTMTR","","1425.73","6.28","35791","35376","","","0","LARGE","7289","1974","17","F","Y","SL-12 R/B(2)","1974-017F","11567"
"1974-039A","7318","PAYLOAD","ATS 6","US","1974-05-30","AFETR","","1412.05","7.46","35418","35212","","","0","LARGE","7289","1974","39","A","Y","ATS 6","1974-039A","7318"
"1974-039C","7324","ROCKET BODY","TITAN 3C TRANSTAGE R/B","US","1974-05-30","AFETR","","1430.36","8.34","35767","35582","","","0","LARGE","7289","1974","39","C","Y","TITAN 3C TRANSTAGE R/B","1974-039C","7324"
"1974-060A","7392","PAYLOAD","MOLNIYA 1-S","CIS","1974-07-29","TTMTR","","1437.14","7.01","35843","35771","","","0","LARGE","7287","1974","60","A","Y","MOLNIYA 1-S","1974-060A","7392"
"1974-060F","20836","ROCKET BODY","SL-12 R/B(2)","CIS","1974-07-29","TTMTR","","1435.51","6.99","35854","35696","","","0","LARGE","7289","1974","60","F","Y","SL-12 R/B(2)","1974-060F","20836"
"1974-094A","7547","PAYLOAD","SKYNET 2B","UK","1974-11-23","AFETR","","1437.72","9.01","35838","35799","","","0","LARGE","7289","1974","94","A","Y","SKYNET 2B","1974-094A","7547"
"1975-038A","7790","PAYLOAD","ANIK A3 (TELESAT-3)","CA","1975-05-07","AFETR","","1439.07","12.33","35865","35824","","","0","LARGE","7288","1975","38","A","Y","ANIK A3 (TELESAT-3)","1975-038A","7790"
"1975-055B","7964","ROCKET BODY","ATLAS AGENA R/B","US","1975-06-18","AFETR","","1410.53","14.65","40789","29780","","","0","","7288","1975","55","B","Y","ATLAS AGENA R/B","1975-055B","7964"
"1975-097A","8357","PAYLOAD","COSMOS 775","CIS","1975-10-08","TTMTR","","1435.06","7.99","35822","35711","","","0","LARGE","7289","1975","97","A","Y","COSMOS 775","1975-097A","8357"
"1975-097F","11676","ROCKET BODY","SL-12 R/B(2)","CIS","1975-10-08","TTMTR","","1438.31","7.99","35928","35731","","","0","LARGE","7289","1975","97","F","Y","SL-12 R/B(2)","1975-097F","11676"
"1975-100A","8366","PAYLOAD","GOES 1 (SMS-C)","US","1975-10-16","AFETR","","1436.44","10.07","35806","35781","","","0","LARGE","7289","1975","100","A","Y","GOES 1 (SMS-C)","1975-100A","8366"
"1975-100F","20962","ROCKET BODY","GOES 1 AKM","US","1975-10-16","AFETR","","1412.67","7.84","36567","34087","","","0","MEDIUM","7289","1975","100","F","Y","GOES 1 AKM","1975-100F","20962"
"1975-118A","8482","PAYLOAD","OPS 3165","US","1975-12-14","AFETR","","1432.98","7.91","35847","35604","","","0","","7289","1975","118","A","Y","OPS 3165","1975-118A","8482"
"1975-118C","8516","ROCKET BODY","TITAN 3C TRANSTAGE R/B","US","1975-12-14","AFETR","","1432.37","7.89","35769","35658","","","0","","7289","1975","118","C","Y","TITAN 3C TRANSTAGE R/B","1975-118C","8516"
"1975-123A","8513","PAYLOAD","RADUGA 1","CIS","1975-12-22","TTMTR","","1436.41","8.41","35813","35773","","","0","LARGE","7288","1975","123","A","Y","RADUGA 1","1975-123A","8513"
"1975-123F","11568","ROCKET BODY","SL-12 R/B(2)","CIS","1975-12-22","TTMTR","","1432.79","8.15","35788","35656","","","0","LARGE","7289","1975","123","F","Y","SL-12 R/B(2)","1975-123F","11568"
"1976-004A","8585","PAYLOAD","CTS","CA","1976-01-17","AFETR","","1436.61","9.48","35852","35741","","","0","LARGE","7289","1976","4","A","Y","CTS","1976-004A","8585"
"1976-004E","39688","DEBRIS","CTS DEB (ARRAY COVER)","CA","1976-01-17","AFETR","","1436.61","8.85","35976","35617","","","0","SMALL","7283","1976","4","E","Y","CTS DEB (ARRAY COVER)","1976-004E","39688"
"1976-004F","39689","DEBRIS","CTS DEB (ARRAY COVER)","CA","1976-01-17","AFETR","","1435.45","8.88","36419","35129","","","0","SMALL","7284","1976","4","F","Y","CTS DEB (ARRAY COVER)","1976-004F","39689"
"1976-023A","8746","PAYLOAD","LES 8","US","1976-03-15","AFETR","","1436.01","17.97","35889","35681","","","0","LARGE","7289","1976","23","A","Y","LES 8","1976-023A","8746"
"1976-023B","8747","PAYLOAD","LES 9","US","1976-03-15","AFETR","","1436.04","17.93","35866","35705","","","0","LARGE","7288","1976","23","B","Y","LES 9","1976-023B","8747"
"1976-023K","13753","DEBRIS","LES 8 9/SOL 11A B DEB *","US","1976-03-15","AFETR","","1420.96","10.16","35511","35468","","","0","LARGE","7288","1976","23","K","Y","LES 8 9/SOL 11A B DEB *","1976-023K","13753"
"1976-059C","8918","ROCKET BODY","TITAN 3C TRANSTAGE R/B","US","1976-06-26","AFETR","","1431.89","8.34","35751","35658","","","0","","7289","1976","59","C","Y","TITAN 3C TRANSTAGE R/B","1976-059C","8918"
"1976-066A","9009","PAYLOAD","PALAPA 1","INDO","1976-07-08","AFETR","","1438.99","12.41","35859","35828","","","0","LARGE","7287","1976","66","A","Y","PALAPA 1","1976-066A","9009"
"1976-092A","9416","PAYLOAD","RADUGA 2","CIS","1976-09-11","TTMTR","","1435.84","9.05","35895","35668","","","0","MEDIUM","7289","1976","92","A","Y","RADUGA 2","1976-092A","9416"
"1976-092F","17872","ROCKET BODY","SL-12 R/B(2)","CIS","1976-09-11","TTMTR","","1436.41","9.03","35866","35719","","","0","LARGE","7289","1976","92","F","Y","SL-12 R/B(2)","1976-092F","17872"
"1976-107A","9503","PAYLOAD","EKRAN 1","CIS","1976-10-26","TTMTR","","1436.64","9.14","36076","35518","","","0","LARGE","7289","1976","107","A","Y","EKRAN 1","1976-107A","9503"
"1976-107F","11569","ROCKET BODY","SL-12 R/B(2)","CIS","1976-10-26","TTMTR","","1419.34","8.31","35509","35407","","","0","LARGE","7288","1976","107","F","Y","SL-12 R/B(2)","1976-107F","11569"
"1977-007C","9855","ROCKET BODY","TITAN 3C TRANSTAGE R/B","US","1977-02-06","AFETR","","1436.46","8.98","35865","35723","","","0","","7288","1977","7","C","Y","TITAN 3C TRANSTAGE R/B","1977-007C","9855"
"1977-018A","9862","PAYLOAD","PALAPA 2","INDO","1977-03-10","AFETR","","1439.62","12.87","35889","35822","","","0","LARGE","7287","1977","18","A","Y","PALAPA 2","1977-018A","9862"
"1977-038A","10016","PAYLOAD","OPS 9751","US","1977-05-23","AFETR","","1436.65","10.44","41149","30446","","","0","","7289","1977","38","A","Y","OPS 9751","1977-038A","10016"
"1977-038C","15422","ROCKET BODY","ATLAS AGENA R/B(2)","US","1977-05-23","AFETR","","1407.14","9.71","41529","28906","","","0","","7289","1977","38","C","Y","ATLAS AGENA R/B(2)","1977-038C","15422"
"1977-048G","20799","ROCKET BODY","GOES 2 AKM","US","1977-06-16","AFETR","","1431.64","9.59","36632","34767","","","0","MEDIUM","7289","1977","48","G","Y","GOES 2 AKM","1977-048G","20799"
"1977-071A","10159","PAYLOAD","RADUGA 3","CIS","1977-07-23","TTMTR","","1436.93","9.64","35829","35777","","","0","LARGE","7289","1977","71","A","Y","RADUGA 3","1977-071A","10159"
"1977-080A","10294","PAYLOAD","SIRIO","IT","1977-08-25","AFETR","","1436.11","12.02","35827","35747","","","0","MEDIUM","7287","1977","80","A","Y","SIRIO","1977-080A","10294"
"1977-092A","10365","PAYLOAD","EKRAN 2","CIS","1977-09-20","TTMTR","","1436.89","9.75","35931","35673","","","0","LARGE","7288","1977","92","A","Y","EKRAN 2","1977-092A","10365"
"1977-092G","11571","ROCKET BODY","SL-12 R/B(2)","CIS","1977-09-20","TTMTR","","1421.71","9.04","35554","35455","","","0","LARGE","7289","1977","92","G","Y","SL-12 R/B(2)","1977-092G","11571"
"1977-092H","11581","DEBRIS","EKRAN 2 DEB","CIS","1977-09-20","TTMTR","","1435.67","9.66","35835","35721","","","0","LARGE","7289","1977","92","H","Y","EKRAN 2 DEB","1977-092H","11581"
"1977-092J","12996","DEBRIS","EKRAN 2 DEB","CIS","1977-09-20","TTMTR","","1439.19","9.83","35894","35800","","","0","MEDIUM","7289","1977","92","J","Y","EKRAN 2 DEB","1977-092J","12996"
"1977-092K","29014","DEBRIS","EKRAN 2 DEB","CIS","1977-09-20","TTMTR","","1438.32","9.66","35894","35766","","","0","MEDIUM","7289","1977","92","K","Y","EKRAN 2 DEB","1977-092K","29014"
"1977-092L","33519","DEBRIS","EKRAN 2 DEB","CIS","1977-09-20","TTMTR","","1434.94","11.34","36212","35316","","3","0","SMALL","7203","1977","92","L","Y","EKRAN 2 DEB","1977-092L","33519"
"1977-108A","10489","PAYLOAD","METEOSAT 1","ESA","1977-11-23","AFETR","","1435.13","10.47","35830","35706","","","0","LARGE","7289","1977","108","A","Y","METEOSAT 1","1977-108A","10489"
"1978-012A","10637","PAYLOAD","IUE","US","1978-01-26","AFETR","","1438.88","41.53","42699","28983","","","0","LARGE","7289","1978","12","A","Y","IUE","1978-012A","10637"
"1978-012D","33000","DEBRIS","IUE DEB","US","1978-01-26","AFETR","","1434.92","41.13","44542","26985","","1","0","SMALL","7233","1978","12","D","Y","IUE DEB","1978-012D","33000"
"1978-035A","10778","PAYLOAD","INTELSAT 4A-F6","ITSO","1978-03-31","AFETR","","1436.19","12.88","35804","35773","","","0","LARGE","7288","1978","35","A","Y","INTELSAT 4A-F6","1978-035A","10778"
"1978-038A","10787","PAYLOAD","OPS 8790","US","1978-04-07","AFETR","","1433.17","7.71","35768","35691","","","0","","7289","1978","38","A","Y","OPS 8790","1978-038A","10787"
"1978-039A","10792","PAYLOAD","YURI (BSE)","JPN","1978-04-07","AFETR","","1435.14","10.80","35814","35722","","","0","LARGE","7288","1978","39","A","Y","YURI (BSE)","1978-039A","10792"
"1978-073A","10987","PAYLOAD","RADUGA 4","CIS","1978-07-18","TTMTR","","1435.95","10.23","35829","35738","","","0","MEDIUM","7289","1978","73","A","Y","RADUGA 4","1978-073A","10987"
"1978-118A","11158","PAYLOAD","GORIZONT 1","CIS","1978-12-19","TTMTR","","1435.65","12.27","50908","20647","","","0","LARGE","7288","1978","118","A","Y","GORIZONT 1","1978-118A","11158"
"1978-118C","11926","ROCKET BODY","SL-12 R/B(2)","CIS","1978-12-19","TTMTR","","1417.30","11.67","50156","20680","","","0","LARGE","7289","1978","118","C","Y","SL-12 R/B(2)","1978-118C","11926"
"1979-007A","11256","PAYLOAD","SCATHA","US","1979-01-30","AFETR","","1418.31","15.04","42776","28100","","","0","LARGE","7289","1979","7","A","Y","SCATHA","1979-007A","11256"
"1979-007C","29000","ROCKET BODY","SCATHA AKM","US","1979-01-30","AFETR","","1417.46","14.99","42679","28163","","","0","SMALL","7289","1979","7","C","Y","SCATHA AKM","1979-007C","29000"
"1979-015A","11273","PAYLOAD","EKRAN 3","CIS","1979-02-21","TTMTR","","1435.92","10.51","35940","35627","","","0","LARGE","7288","1979","15","A","Y","EKRAN 3","1979-015A","11273"
"1979-015D","13900","ROCKET BODY","SL-12 R/B(2)","CIS","1979-02-21","TTMTR","","1420.98","9.79","35517","35463","","","0","LARGE","7287","1979","15","D","Y","SL-12 R/B(2)","1979-015D","13900"
"1979-035A","11343","PAYLOAD","RADUGA 5","CIS","1979-04-25","TTMTR","","1435.88","10.66","35802","35762","","","0","MEDIUM","7287","1979","35","A","Y","RADUGA 5","1979-035A","11343"
"1979-035E","17873","ROCKET BODY","SL-12 R/B(2)","CIS","1979-04-25","TTMTR","","1437.17","10.60","35921","35694","","","0","LARGE","7288","1979","35","E","Y","SL-12 R/B(2)","1979-035E","17873"
"1979-062A","11440","PAYLOAD","GORIZONT 2","CIS","1979-07-05","TTMTR","","1436.36","11.01","35803","35781","","","0","LARGE","7289","1979","62","A","Y","GORIZONT 2","1979-062A","11440"
"1979-086A","11558","PAYLOAD","OPS 1948","US","1979-10-01","AFETR","","1437.81","6.05","41137","30503","","","0","","7285","1979","86","A","Y","OPS 1948","1979-086A","11558"
"1979-087A","11561","PAYLOAD","EKRAN 4","CIS","1979-10-03","TTMTR","","1436.64","10.90","35856","35739","","","0","MEDIUM","7287","1979","87","A","Y","EKRAN 4","1979-087A","11561"
"1979-087C","17939","ROCKET BODY","SL-12 R/B(2)","CIS","1979-10-03","TTMTR","","1433.35","10.66","35872","35594","","","0","LARGE","7289","1979","87","C","Y","SL-12 R/B(2)","1979-087C","17939"
"1979-105A","11648","PAYLOAD","GORIZONT 3","CIS","1979-12-28","TTMTR","","1435.24","11.15","35813","35727","","","0","LARGE","7288","1979","105","A","Y","GORIZONT 3","1979-105A","11648"
"1980-004A","11669","PAYLOAD","OPS 6393 (FLTSATCOM 3)","US","1980-01-18","AFETR","","1435.08","10.71","35862","35671","","","0","LARGE","7289","1980","4","A","Y","OPS 6393 (FLTSATCOM 3)","1980-004A","11669"
"1980-016A","11708","PAYLOAD","RADUGA 6","CIS","1980-02-20","TTMTR","","1435.29","10.98","35776","35766","","","0","LARGE","7288","1980","16","A","Y","RADUGA 6","1980-016A","11708"
"1980-060A","11890","PAYLOAD","EKRAN 5","CIS","1980-07-15","TTMTR","","1436.08","0.05","35834","35738","","3","0","","5799","1980","60","A","Y","EKRAN 5","1980-060A","11890"
"1980-060F","14193","ROCKET BODY","SL-12 R/B(2)","CIS","1980-07-15","TTMTR","","1417.21","10.37","35476","35356","","","0","LARGE","7289","1980","60","F","Y","SL-12 R/B(2)","1980-060F","14193"
"1980-081A","12003","PAYLOAD","RADUGA 7","CIS","1980-10-05","TTMTR","","1437.34","11.13","35843","35778","","","0","LARGE","7289","1980","81","A","Y","RADUGA 7","1980-081A","12003"
"1980-104A","12120","PAYLOAD","EKRAN 6","CIS","1980-12-26","TTMTR","","1435.43","11.38","35812","35735","","","0","LARGE","7289","1980","104","A","Y","EKRAN 6","1980-104A","12120"
"1980-104E","12471","ROCKET BODY","SL-12 R/B(2)","CIS","1980-12-26","TTMTR","","1420.95","10.68","35626","35353","","","0","LARGE","7288","1980","104","E","Y","SL-12 R/B(2)","1980-104E","12471"
"1981-018A","12309","PAYLOAD","ESIAFI 1 (COMSTAR 4)","US","1981-02-21","AFETR","","1436.08","12.85","35817","35756","","","0","LARGE","7289","1981","18","A","Y","ESIAFI 1 (COMSTAR 4)","1981-018A","12309"
"1981-025C","12371","ROCKET BODY","TITAN 3C TRANSTAGE R/B","US","1981-03-16","AFETR","","1420.99","11.43","35700","35281","","","0","","7288","1981","25","C","Y","TITAN 3C TRANSTAGE R/B","1981-025C","12371"
"1981-027A","12351","PAYLOAD","RADUGA 8","CIS","1981-03-18","TTMTR","","1434.64","11.45","36101","35415","","","0","LARGE","7289","1981","27","A","Y","RADUGA 8","1981-027A","12351"
"1981-049A","12472","PAYLOAD","GOES 5","US","1981-05-22","AFETR","","1436.35","13.19","35806","35777","","","0","LARGE","7289","1981","49","A","Y","GOES 5","1981-049A","12472"
"1981-057B","12545","PAYLOAD","APPLE","IND","1981-06-19","FRGUI","","1439.51","11.94","35956","35751","","","0","LARGE","7289","1981","57","B","Y","APPLE","1981-057B","12545"
